col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,4,27,neither,0,0
Erb22daGMST,Wu18TSI,5,4,28,neither,0,0
Erb22daGMST,Wu18TSI,5,4,29,neither,0,0
Erb22daGMST,Wu18TSI,5,4,30,neither,0,0
Erb22daGMST,Wu18TSI,5,4,31,neither,0,0
Erb22daGMST,Wu18TSI,5,4,32,neither,0,0
Erb22daGMST,Wu18TSI,5,4,33,neither,0,0
Erb22daGMST,Wu18TSI,5,4,34,neither,0,0
Erb22daGMST,Wu18TSI,5,4,35,neither,0,0
Erb22daGMST,Wu18TSI,5,4,36,neither,0,0
Erb22daGMST,Wu18TSI,5,4,37,neither,0,0
Erb22daGMST,Wu18TSI,5,4,38,neither,0,0
Erb22daGMST,Wu18TSI,5,4,39,neither,0,0
Erb22daGMST,Wu18TSI,5,4,40,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-41,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-40,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-39,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-38,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-37,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-36,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-35,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-34,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-33,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-32,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-31,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-30,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-29,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-28,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-27,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-26,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-25,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-24,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-23,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-22,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-21,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-20,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-19,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-18,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-17,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-16,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-15,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-14,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-13,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-12,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-11,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-10,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-9,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-8,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-7,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-6,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-5,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-4,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-3,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-2,neither,0,0
Erb22daGMST,Wu18TSI,5,5,-1,neither,0,0
Erb22daGMST,Wu18TSI,5,5,0,neither,0,0
Erb22daGMST,Wu18TSI,5,5,1,neither,0,0
Erb22daGMST,Wu18TSI,5,5,2,neither,0,0
Erb22daGMST,Wu18TSI,5,5,3,neither,0,0
Erb22daGMST,Wu18TSI,5,5,4,neither,0,0
Erb22daGMST,Wu18TSI,5,5,5,neither,0,0
Erb22daGMST,Wu18TSI,5,5,6,neither,0,0
Erb22daGMST,Wu18TSI,5,5,7,neither,0,0
Erb22daGMST,Wu18TSI,5,5,8,neither,0,0
Erb22daGMST,Wu18TSI,5,5,9,neither,0,0
Erb22daGMST,Wu18TSI,5,5,10,neither,0,0
Erb22daGMST,Wu18TSI,5,5,11,neither,0,0
Erb22daGMST,Wu18TSI,5,5,12,neither,0,0
Erb22daGMST,Wu18TSI,5,5,13,neither,0,0
Erb22daGMST,Wu18TSI,5,5,14,neither,0,0
Erb22daGMST,Wu18TSI,5,5,15,neither,0,0
Erb22daGMST,Wu18TSI,5,5,16,neither,0,0
Erb22daGMST,Wu18TSI,5,5,17,neither,0,0
Erb22daGMST,Wu18TSI,5,5,18,neither,0,0
Erb22daGMST,Wu18TSI,5,5,19,neither,0,0
Erb22daGMST,Wu18TSI,5,5,20,neither,0,0
Erb22daGMST,Wu18TSI,5,5,21,neither,0,0
Erb22daGMST,Wu18TSI,5,5,22,neither,0,0
Erb22daGMST,Wu18TSI,5,5,23,neither,0,0
Erb22daGMST,Wu18TSI,5,5,24,neither,0,0
Erb22daGMST,Wu18TSI,5,5,25,neither,0,0
Erb22daGMST,Wu18TSI,5,5,26,neither,0,0
Erb22daGMST,Wu18TSI,5,5,27,neither,0,0
Erb22daGMST,Wu18TSI,5,5,28,neither,0,0
Erb22daGMST,Wu18TSI,5,5,29,neither,0,0
Erb22daGMST,Wu18TSI,5,5,30,neither,0,0
Erb22daGMST,Wu18TSI,5,5,31,neither,0,0
Erb22daGMST,Wu18TSI,5,5,32,neither,0,0
Erb22daGMST,Wu18TSI,5,5,33,neither,0,0
Erb22daGMST,Wu18TSI,5,5,34,neither,0,0
Erb22daGMST,Wu18TSI,5,5,35,neither,0,0
Erb22daGMST,Wu18TSI,5,5,36,neither,0,0
Erb22daGMST,Wu18TSI,5,5,37,neither,0,0
Erb22daGMST,Wu18TSI,5,5,38,neither,0,0
Erb22daGMST,Wu18TSI,5,5,39,neither,0,0
Erb22daGMST,Wu18TSI,5,5,40,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-41,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-40,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-39,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-38,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-37,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-36,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-35,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-34,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-33,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-32,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-31,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-30,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-29,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-28,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-27,neither,0,0
